date,TWTR
2015-09-03,0.017254000000000002
2015-09-04,-0.0053
2015-09-08,-0.034458
2015-09-09,0.0
2015-09-10,0.0195
2015-09-11,-0.011548000000000001
2015-09-14,-0.017890000000000003
2015-09-15,0.010037
2015-09-16,0.021347
2015-09-17,-0.012252
2015-09-18,0.020066
2015-09-21,-0.020744
2015-09-22,-0.020087999999999998
2015-09-23,-0.0014910000000000001
2015-09-24,-0.007092
2015-09-25,-0.049248
2015-09-28,-0.001186
2015-09-29,0.013064
2015-09-30,0.052755
2015-10-01,-0.08388999999999999
2015-10-02,0.06604499999999999
2015-10-05,0.069935
2015-10-06,-0.018828
2015-10-07,0.080014
2015-10-08,0.016426
2015-10-09,0.017480000000000002
2015-10-12,-0.068071
2015-10-13,0.010783000000000001
2015-10-14,0.011012
2015-10-15,0.011231999999999999
2015-10-16,0.048469
2015-10-19,-0.007705
2015-10-20,0.0
2015-10-21,-0.052087
2015-10-22,-0.005119
2015-10-23,0.038765
2015-10-26,0.020145
2015-10-27,0.014568000000000001
2015-10-28,-0.014997
2015-10-29,-0.058633
2015-10-30,-0.020647000000000002
2015-11-02,0.026001
2015-11-03,-0.002397
2015-11-04,0.007896
2015-11-05,-0.023842
2015-11-06,-0.013259
2015-11-09,-0.042079000000000005
2015-11-10,-0.001477
2015-11-11,-0.020333
2015-11-12,-0.013962
2015-11-13,-0.036357
2015-11-16,0.009134
2015-11-17,-0.007084
2015-11-18,0.026556000000000003
2015-11-19,0.016215999999999998
2015-11-20,-0.0019
2015-11-23,-0.040731
2015-11-24,0.012698000000000001
2015-11-25,0.02116
2015-11-27,-0.011896
2015-11-30,-0.013592
2015-12-01,0.005118
2015-12-02,-0.005092
2015-12-03,0.019684999999999998
2015-12-04,-0.033977
2015-12-07,-0.022382
2015-12-08,0.021668
2015-12-09,-0.027211
2015-12-10,0.065817
2015-12-11,-0.041297
2015-12-14,0.003221
2015-12-15,-0.038925
2015-12-16,0.014614
2015-12-17,-0.040741
2015-12-18,-0.013728
2015-12-21,-0.036973
2015-12-22,0.018969999999999997
2015-12-23,0.004876
2015-12-24,0.013233
2015-12-28,-0.019155
2015-12-29,-0.002663
2015-12-30,-0.010681000000000001
2015-12-31,0.040936
2016-01-04,-0.025065
2016-01-05,-0.028369
2016-01-06,-0.024179
2016-01-07,-0.052828
2016-01-08,-0.013819999999999999
2016-01-11,-0.016517
2016-01-12,-0.001527
2016-01-13,-0.04791
2016-01-14,0.017131
2016-01-15,-0.055789
2016-01-19,-0.069677
2016-01-20,0.041342
2016-01-21,0.025892
2016-01-22,0.000561
2016-01-25,-0.045964
2016-01-26,-0.000588
2016-01-27,-0.013521
2016-01-28,-0.017282
2016-01-29,0.018799
2016-02-01,0.066071
2016-02-02,-0.102178
2016-02-03,0.029851000000000003
2016-02-04,0.021135
2016-02-05,-0.070373
2016-02-08,-0.052163
2016-02-09,-0.033557000000000003
2016-02-10,0.040278
2016-02-11,-0.044726
2016-02-12,0.10971299999999999
2016-02-16,0.030227
2016-02-17,0.067237
2016-02-18,0.055556
2016-02-19,-0.006511
2016-02-22,-0.000546
2016-02-23,0.0
2016-02-24,-0.016393
2016-02-25,-0.022778
2016-02-26,0.019898
2016-02-29,0.010033
2016-03-01,-0.014901
2016-03-02,0.038655
2016-03-03,0.041532
2016-03-04,0.002589
2016-03-07,-0.009814
2016-03-08,-0.043818
2016-03-09,-0.036552
2016-03-10,-0.059455999999999995
2016-03-11,0.012041
2016-03-14,0.018441
2016-03-15,-0.054322
2016-03-16,0.031501
2016-03-17,0.008982
2016-03-18,0.0
2016-03-21,0.002374
2016-03-22,-0.001776
2016-03-23,-0.050415
2016-03-24,-0.006246000000000001
2016-03-28,-0.019485
2016-03-29,0.023718
2016-03-30,0.024420999999999998
2016-03-31,0.011614
2016-04-01,-0.034441
2016-04-04,0.069462
2016-04-05,-0.002341
2016-04-06,0.012317
2016-04-07,-0.016222
2016-04-08,-0.019435
2016-04-11,-0.008408
2016-04-12,0.003634
2016-04-13,0.04828
2016-04-14,0.009211
2016-04-15,0.002852
2016-04-18,-0.015358
2016-04-19,-0.02253
2016-04-20,0.028369
2016-04-21,0.0063219999999999995
2016-04-22,-0.015991
2016-04-25,-0.008125
2016-04-26,0.038619
2016-04-27,-0.16281700000000002
2016-04-28,-0.014804999999999999
2016-04-29,-0.001366
2016-05-02,-0.015047999999999999
2016-05-03,-0.027083
2016-05-04,0.059243
2016-05-05,-0.048518
2016-05-06,0.01983
2016-05-09,-0.013889
2016-05-10,0.030282
2016-05-11,-0.002734
2016-05-12,-0.034955
2016-05-13,0.0014199999999999998
2016-05-16,0.013474999999999999
2016-05-17,0.003499
2016-05-18,-0.013947000000000001
2016-05-19,0.000707
2016-05-20,0.019788
2016-05-23,-0.001386
2016-05-24,-0.026371000000000002
2016-05-25,0.027084999999999998
2016-05-26,-0.007633999999999999
2016-05-27,0.055944
2016-05-31,0.007947
2016-06-01,-0.013141
2016-06-02,0.011984
2016-06-03,0.0
2016-06-06,0.004605000000000001
2016-06-07,-0.017682
2016-06-08,-0.003333
2016-06-09,-0.023411
2016-06-10,-0.039726
2016-06-13,0.037803
2016-06-14,0.055670000000000004
2016-06-15,0.039063
2016-06-16,-0.005639
2016-06-17,0.014493
2016-06-20,0.014906999999999998
2016-06-21,-0.001224
2016-06-22,-0.011642
2016-06-23,0.056417
2016-06-24,-0.035211
2016-06-27,-0.036496
2016-06-28,0.036616
2016-06-29,0.02497
2016-06-30,0.004753
2016-07-01,0.021880999999999998
2016-07-05,-0.008102
2016-07-06,0.003501
2016-07-07,0.009883999999999999
2016-07-08,0.040875
2016-07-11,-0.020465
2016-07-12,0.022021000000000002
2016-07-13,-0.01989
2016-07-14,0.012401
2016-07-15,0.0066820000000000004
2016-07-18,0.031527
2016-07-19,-0.017158
2016-07-20,0.012547999999999998
2016-07-21,-0.009159
2016-07-22,-0.001088
2016-07-25,0.015242
2016-07-26,-0.010724000000000001
2016-07-27,-0.145257
2016-07-28,0.034242
2016-07-29,0.020232999999999998
2016-08-01,0.0
2016-08-02,-0.013221
2016-08-03,0.072473
2016-08-04,0.029529
2016-08-05,0.007170000000000001
2016-08-08,-0.003286
2016-08-09,0.026373999999999998
2016-08-10,0.019272
2016-08-11,0.038866
2016-08-12,-0.012133
2016-08-15,0.067554
2016-08-16,-0.022052000000000002
2016-08-17,-0.011275
2016-08-18,-0.058007
2016-08-19,-0.0010530000000000001
2016-08-22,-0.022654999999999998
2016-08-23,0.007547000000000001
2016-08-24,-0.023542
2016-08-25,0.003836
2016-08-26,-0.001092
2016-08-29,0.00929
2016-08-30,-0.004873
2016-08-31,0.045158
2016-09-01,0.015096
2016-09-02,0.0025640000000000003
2016-09-06,0.019437
2016-09-07,-0.003011
2016-09-08,-0.058883
2016-09-09,-0.031551
2016-09-12,0.002209
2016-09-13,-0.021488
2016-09-14,0.018018
2016-09-15,0.012168000000000002
2016-09-16,0.044261999999999996
2016-09-19,-0.039245999999999996
2016-09-20,0.0016339999999999998
2016-09-21,0.005437999999999999
2016-09-22,0.007572
2016-09-23,0.214171
2016-09-26,0.033156
2016-09-27,0.014976
2016-09-28,-0.03204
2016-09-29,0.002178
2016-09-30,0.0017380000000000002
2016-10-03,0.041215
2016-10-04,-0.02
2016-10-05,0.057398
2016-10-06,-0.20104500000000003
2016-10-07,-0.001007
2016-10-10,-0.115365
2016-10-11,0.025057
2016-10-12,0.002778
2016-10-13,-0.014403999999999998
2016-10-14,-0.051151999999999996
2016-10-17,-0.008886
2016-10-18,0.005977
2016-10-19,0.01426
2016-10-20,-0.009959
2016-10-21,0.070414
2016-10-24,-0.003317
2016-10-25,-0.042706999999999995
2016-10-26,0.0017380000000000002
2016-10-27,0.006362
2016-10-28,0.014943
2016-10-31,0.016420999999999998
2016-11-01,-0.025627
2016-11-02,0.006861000000000001
2016-11-03,-0.001704
2016-11-04,0.025028
2016-11-07,0.021643
2016-11-08,-0.0016300000000000002
2016-11-09,0.040805
2016-11-10,-0.039728
2016-11-11,0.009799
2016-11-14,0.031806
2016-11-15,-0.008359
2016-11-16,-0.01844
2016-11-17,-0.004294
2016-11-18,0.009704
2016-11-21,-0.006941
2016-11-22,0.001613
2016-11-23,-0.022008
2016-11-25,-0.008782
2016-11-28,0.013289
2016-11-29,-0.006011
2016-11-30,0.016493
2016-12-01,-0.024878
2016-12-02,-0.005546
2016-12-05,0.016732
2016-12-06,0.0
2016-12-07,0.068568
2016-12-08,0.008214
2016-12-09,0.000509
2016-12-12,-0.036641
2016-12-13,0.023243999999999997
2016-12-14,-0.022716
2016-12-15,-0.007396000000000001
2016-12-16,-0.008515
2016-12-19,-0.020933999999999998
2016-12-20,-0.017544
2016-12-21,-0.046875
2016-12-22,-0.039227
2016-12-23,0.005484
2016-12-27,0.006666999999999999
2016-12-28,-0.013245
2016-12-29,0.0
2016-12-30,-0.005491
2017-01-03,0.008589
2017-01-04,0.025547
2017-01-05,0.013642000000000001
2017-01-06,0.004681
2017-01-09,0.01922
2017-01-10,-0.007429
2017-01-11,-0.00403
2017-01-12,0.004624
2017-01-13,-0.00748
2017-01-17,-0.016812
2017-01-18,0.008844
2017-01-19,-0.018703
2017-01-20,-0.012506999999999999
2017-01-23,0.001809
2017-01-24,-0.005417999999999999
2017-01-25,0.012712000000000001
2017-01-26,0.004782
2017-01-27,-0.014277
2017-01-30,0.022330000000000003
2017-01-31,0.040142
2017-02-01,-0.021566000000000002
2017-02-02,0.031323
2017-02-03,-0.009561
2017-02-06,0.018171
2017-02-07,0.018405
2017-02-08,0.025192000000000003
2017-02-09,-0.123397
2017-02-10,-0.050579
2017-02-13,0.014763
2017-02-14,0.044908000000000003
2017-02-15,0.013317
2017-02-16,-0.023297
2017-02-17,0.016514
2017-02-21,-0.012034
2017-02-22,-0.020706000000000002
